Subject,Status,Start Time,End Time,Size,Read,Transferred,Duration
MAWF,Success,上午 11:17:54,下午 12:41:46,400 GB,260.9 GB,369.9 MB,1:23:51
MAWF,Success,下午 03:17:57,下午 04:36:38,400 GB,260.9 GB,258.4 MB,1:18:41
SECOM,Success,下午 04:28:07,下午 06:58:27,931.5 GB,498 GB,848.7 MB,2:30:19
MAWF,Success,下午 06:26:48,下午 07:49:51,400 GB,260.9 GB,248.4 MB,1:23:02
MAWF,Success,下午 10:18:27,下午 11:33:35,400 GB,260.9 GB,205.4 MB,1:15:08
SECOM,Success,下午 10:28:00,上午 01:18:24,931.5 GB,498 GB,1.3 GB,2:50:23
SECOM,Success,上午 03:27:59,上午 05:34:04,931.5 GB,498 GB,393.7 MB,2:06:04
MAWF,Success,上午 09:17:51,上午 10:25:47,400 GB,260.9 GB,444.4 MB,1:07:55
SECOM,Success,上午 09:27:55,下午 12:17:33,931.5 GB,498.1 GB,3.4 GB,2:49:37
MAWF,Success,下午 01:17:59,下午 02:37:10,400 GB,260.9 GB,345.4 MB,1:19:10
SECOM,Success,下午 02:28:00,下午 04:53:23,931.5 GB,498.1 GB,416.2 MB,2:25:22
SECOM,Success,下午 07:27:59,下午 10:02:51,931.5 GB,498.1 GB,926.2 MB,2:34:51
MAWF,Success,上午 09:17:48,上午 10:42:12,400 GB,261 GB,911.5 MB,1:24:23
MAWF,Success,下午 01:17:51,下午 03:47:21,400 GB,261.1 GB,439.4 MB,2:29:29
MAWF,Success,下午 06:33:45,下午 07:55:04,400 GB,261 GB,655.5 MB,1:21:19
MAWF,Success,下午 10:18:05,上午 12:52:56,400 GB,261.1 GB,221.4 MB,2:34:51
MAWF,Success,上午 10:17:43,上午 11:44:52,400 GB,261.1 GB,460.9 MB,1:27:09
MAWF,Success,下午 06:31:54,下午 07:30:25,400 GB,261.2 GB,900.5 MB,0:58:30
